Y;X4
1718.44188;1752.492
1716.17637;1753.83447
1723.863775;1758.83127
1720.299618;1756.71404
1725.184326;1756.84429
1711.26577;1762.8655
1713.422965;1753.45624
1723.27787;1755.57786
1719.85724;1752.0095
1712.56055;1753.963067
1720.08696;1753.04916
1713.9554;1757.150067
1719.533585;1752.70902
1723.02277;1750.45961
1711.521615;1755.3442
1720.850195;1757.82362
1722.487475;1750.56369
1721.52922;1757.30061
1697.251838;1752.171767
1714.321681;1749.932622
1718.803305;1740.61296
1721.53116;1763.08744
1727.817967;1762.5907
1725.06986;1757.93239
1717.231615;1756.51426
1725.143465;1755.57958
1722.561615;1754.29658
1713.98814;1751.67301
1723.564185;1757.76497
1718.66315;1762.23095
1727.476005;1752.90267
1726.444617;1754.752789
1715.994258;1756.28764
1723.530884;1753.6545
1720.132157;1751.74617
1721.962905;1754.99994
1716.828175;1752.49232
1718.019642;1746.37211
1712.09907;1754.44384
1725.4465;1752.65075
1725.06774;1758.68543
1716.447725;1752.8214
1721.152115;1759.54536
1721.735865;1752.99849
1669.045772;1742.004833
1693.96928;1747.79993
1721.869835;1751.17758
1664.001655;1731.49714
1709.332715;1741.39174
1708.76978;1747.68384
1715.41589;1755.47474
1721.55836;1747.76359
1719.146389;1757.757389
1720.610555;1755.92993
1722.368878;1744.661667
1714.00228;1747.4001
1696.26673;1734.54967
1720.23773;1746.69803
1711.914285;1750.8575
1702.94653;1751.75076
1714.08135;1742.511744
1723.08307;1751.73854
1721.825785;1753.29005
1718.27047;1757.57902
1720.52356;1749.49283
1713.833095;1753.08909
1723.46834;1753.88635
1722.99921;1755.95263
1719.024;1763.06357
1715.118485;1751.83379
1721.988942;1751.30809
1713.883065;1746.40288
1728.17925;1749.32557
1719.38833;1756.7077
1696.12872;1743.60012
1722.76996;1749.81959
1718.22426;1745.28575
1625.59478;1729.14078
1556.030635;1694.78311
1551.885895;1673.87147
1627.235156;1724.4366
1446.096802;1678.292144
1705.114265;1739.98615
1723.488805;1750.77546
1731.79623;1753.09753
1717.92565;1754.12073
1722.616455;1750.97513
1726.303955;1753.77672
1724.40336;1749.23444
1718.90285;1751.28629
1721.403945;1757.41337
1718.835665;1749.1051
1714.4626;1754.9934
1721.991225;1751.41086
1727.566755;1756.72083
1714.81433;1758.31093
1715.883028;1756.547222
1724.08257;1755.29861
1707.599065;1757.524838
1726.901528;1748.930378
1722.63286;1749.85144
1735.575715;1757.16078
1722.77015;1750.08059
1723.88663;1757.054
1722.607135;1751.04458
1708.7868;1755.1226
1713.849567;1753.050489
1712.188425;1757.52309
1713.546789;1757.029833
1715.785625;1752.33097
1721.95519;1759.63501
1723.93495;1753.11865
1685.533383;1708.5124
1719.440575;1756.20375
1720.31722;1756.87274
1721.1489;1750.72587
1723.268115;1747.74501
1716.62587;1750.512
1718.67255;1748.9752
1719.363832;1757.38375
1711.173685;1757.17197
1709.283081;1753.665013
1713.52358;1759.67781
1714.224565;1749.11527
1718.89573;1754.35402
1714.04475;1749.97476
1716.92879;1751.39999
1719.171255;1753.14178
1718.57548;1757.1792
1725.943767;1753.6902
1723.100129;1756.378143
1713.19242;1752.54675
1716.3662;1759.50594
1720.182475;1754.32362
1718.71095;1751.44301
1710.346625;1757.92575
